Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,date_parsed
9/15/2015,350.00,/,/,350.00,0.00,0,0,0,2015-09-15
9/16/2015,350.00,/,/,350.00,0.00,0,0,0,2015-09-16
9/17/2015,350.00,/,/,350.00,0.00,0,0,0,2015-09-17
9/18/2015,350.00,/,/,350.00,0.00,0,0,0,2015-09-18
9/21/2015,350.00,/,/,350.00,0.00,0,0,0,2015-09-21
9/22/2015,350.00,/,/,350.00,0.00,0,0,0,2015-09-22
9/23/2015,350.00,/,/,350.00,0.00,0,0,0,2015-09-23
9/24/2015,350.00,/,/,350.00,0.00,0,0,0,2015-09-24
9/25/2015,350.00,/,/,350.00,0.00,0,0,0,2015-09-25
9/28/2015,350.00,/,/,350.00,0.00,0,0,0,2015-09-28
9/29/2015,350.00,/,/,350.00,0.00,0,0,0,2015-09-29
9/30/2015,350.00,/,/,350.00,0.00,0,0,0,2015-09-30
10/1/2015,350.00,/,/,350.00,0.00,0,0,0,2015-10-01
10/2/2015,350.00,/,/,350.00,0.00,0,0,0,2015-10-02
10/5/2015,350.00,/,/,350.00,0.00,0,0,0,2015-10-05
10/6/2015,350.00,/,/,350.00,0.00,0,0,0,2015-10-06
10/7/2015,350.00,/,/,350.00,0.00,0,0,0,2015-10-07
10/8/2015,350.00,/,/,350.00,0.00,0,0,0,2015-10-08
10/9/2015,350.00,/,/,350.00,0.00,0,0,0,2015-10-09
10/13/2015,350.00,/,/,350.00,0.00,0,0,0,2015-10-13
10/14/2015,350.00,/,/,350.00,0.00,0,0,0,2015-10-14
10/15/2015,350.00,/,/,350.00,0.00,0,0,0,2015-10-15
10/16/2015,350.00,/,/,350.00,0.00,0,0,0,2015-10-16
10/19/2015,350.00,/,/,350.00,0.00,0,0,0,2015-10-19
10/20/2015,350.00,/,/,350.00,0.00,0,0,0,2015-10-20
10/21/2015,350.00,/,/,350.00,0.00,0,0,0,2015-10-21
10/22/2015,350.00,/,/,350.00,0.00,0,0,0,2015-10-22
10/26/2015,350.00,/,/,350.00,0.00,0,0,0,2015-10-26
10/27/2015,350.00,/,/,350.00,0.00,0,0,0,2015-10-27
10/28/2015,350.00,/,/,350.00,0.00,0,0,0,2015-10-28
10/29/2015,350.00,/,/,350.00,0.00,0,0,0,2015-10-29
10/30/2015,350.00,/,/,350.00,0.00,0,0,0,2015-10-30
11/2/2015,350.00,/,/,350.00,0.00,0,0,0,2015-11-02
11/3/2015,350.00,/,/,350.00,0.00,0,0,0,2015-11-03
11/4/2015,350.00,/,/,350.00,0.00,0,0,0,2015-11-04
11/5/2015,350.00,/,/,350.00,0.00,0,0,0,2015-11-05
11/6/2015,350.00,/,/,350.00,0.00,0,0,0,2015-11-06
11/9/2015,350.00,/,/,350.00,0.00,0,0,0,2015-11-09
11/10/2015,350.00,/,/,350.00,0.00,0,0,0,2015-11-10
11/11/2015,350.00,/,/,350.00,0.00,0,0,0,2015-11-11
11/12/2015,350.00,/,/,350.00,0.00,0,0,0,2015-11-12
11/13/2015,350.00,/,/,350.00,0.00,0,0,0,2015-11-13
11/16/2015,350.00,/,/,350.00,0.00,0,0,0,2015-11-16
11/17/2015,350.00,/,/,350.00,0.00,0,0,0,2015-11-17
11/18/2015,350.00,/,/,350.00,0.00,0,0,0,2015-11-18
11/19/2015,360.00,360.00,360.00,360.00,2.86,"3,300","1,188,000","1,188,000",2015-11-19
11/20/2015,360.00,/,/,360.00,0.00,0,0,0,2015-11-20
